stamp,ax,ay,az,gx,gy,gz,px,py,pz,vx,vy,vz,qw,qx,qy,qz,bw_x,bw_y,bw_z,ba_x,ba_y,ba_z
1776086967.262335539,-2.532803523,-0.076470054,9.409395863,0.053027079,0.043568067,0.017479055,-0.018485518,-0.000320098,-0.033710203,-0.065445133,0.045520507,-0.116055220,0.991776959,-0.000379949,0.127971119,-0.001308630,0.009962176,0.006119106,-0.005678825,-0.000003554,-0.000007224,-0.000001752
1776086967.266492844,-2.547238936,-0.098123169,9.426237178,0.053027079,0.040372275,0.019609584,-0.018758151,-0.000131528,-0.034193075,-0.065713806,0.045197089,-0.116245404,0.991767514,-0.000284627,0.128044929,-0.001270176,0.009962176,0.006119106,-0.005678825,-0.000003554,-0.000007224,-0.000001752
1776086967.272487402,-2.530397621,-0.021134304,9.464731612,0.044504963,0.037176482,0.028131701,-0.019153055,0.000138461,-0.034890262,-0.066040231,0.044880724,-0.116361217,0.991755112,-0.000157814,0.128141876,-0.001197257,0.009962176,0.006119106,-0.005678825,-0.000003554,-0.000007224,-0.000001752
1776086967.276658773,-2.513556305,0.017360131,9.440672591,0.037048113,0.032915421,0.019609584,-0.019428838,0.000325704,-0.035375793,-0.066186308,0.044894894,-0.116430673,0.991747459,-0.000086105,0.128201643,-0.001144380,0.009962176,0.006119106,-0.005678825,-0.000003554,-0.000007224,-0.000001752
1776086967.282402039,-2.491903186,0.024577837,9.455108004,0.027460732,0.028654365,0.014283262,-0.009708836,0.001038459,-0.019877759,-0.018461091,0.043021759,-0.043796465,0.991801024,0.001603208,0.127772184,-0.001558031,0.009953732,0.006120963,-0.005677452,-0.000022510,0.000000784,-0.000032821
1776086967.286713362,-2.496714990,0.022171935,9.527285069,0.027460732,0.021197513,0.010022204,-0.009788463,0.001223894,-0.020066432,-0.018477500,0.043000797,-0.043728217,0.991795842,0.001645612,0.127812268,-0.001524667,0.009953732,0.006120963,-0.005677452,-0.000022510,0.000000784,-0.000032821
1776086967.292483568,-2.470250066,0.012548327,9.548938188,0.032787055,0.014805926,0.010022204,-0.009894762,0.001471811,-0.020317780,-0.018366654,0.042929168,-0.043390966,0.991791431,0.001709169,0.127846100,-0.001487125,0.009953732,0.006120963,-0.005677452,-0.000022510,0.000000784,-0.000032821
1776086967.296922445,-2.467844164,-0.021134304,9.548938188,0.043439697,0.008414339,0.003630616,-0.009975934,0.001662019,-0.020509745,-0.018206492,0.042771698,-0.043101604,0.991789805,0.001774721,0.127858042,-0.001467571,0.009953732,0.006120963,-0.005677452,-0.000022510,0.000000784,-0.000032821
1776086967.302481413,-2.494309088,-0.009104793,9.553749993,0.048766017,0.006283810,0.001500089,-0.010076756,0.001899039,-0.020748256,-0.018067075,0.042503119,-0.042709572,0.991789219,0.001877306,0.127861239,-0.001457689,0.009953732,0.006120963,-0.005677452,-0.000022510,0.000000784,-0.000032821
1776086967.306830168,-2.537615327,0.012548327,9.563373601,0.054092340,0.004153281,0.002565354,-0.010155389,0.002083560,-0.020933172,-0.018096745,0.042358622,-0.042333828,0.991789321,0.001968889,0.127859129,-0.001452596,0.009953732,0.006120963,-0.005677452,-0.000022510,0.000000784,-0.000032821
1776086967.312489510,-2.542427131,0.036607348,9.520067362,0.060483932,0.002022753,0.005761147,-0.010258357,0.002323075,-0.021171532,-0.018291806,0.042285396,-0.041902072,0.991790185,0.002105278,0.127850367,-0.001442121,0.009953732,0.006120963,-0.005677452,-0.000022510,0.000000784,-0.000032821
1776086967.316614389,-2.520774012,0.079913592,9.455108004,0.057288140,-0.002238305,0.015348526,-0.010334151,0.002497658,-0.021344187,-0.018457607,0.042363298,-0.041811638,0.991791658,0.002209631,0.127837409,-0.001421848,0.009953732,0.006120963,-0.005677452,-0.000022510,0.000000784,-0.000032821
